voxel/serie,z,y,x
105353,38,38,17
105354,38,38,18
105355,38,38,19
105433,38,40,9
105434,38,40,10
105435,38,40,11
105477,38,41,9
105478,38,41,10
105479,38,41,11
105503,38,41,35
105504,38,41,36
105505,38,41,37
105521,38,42,9
105522,38,42,10
105523,38,42,11
105536,38,42,24
105537,38,42,25
105538,38,42,26
105547,38,42,35
105548,38,42,36
105549,38,42,37
105580,38,43,24
105581,38,43,25
105582,38,43,26
105591,38,43,35
105592,38,43,36
105593,38,43,37
105624,38,44,24
105625,38,44,25
105626,38,44,26
107857,39,33,13
107858,39,33,14
107859,39,33,15
107860,39,33,16
107861,39,33,17
107901,39,34,13
107902,39,34,14
107903,39,34,15
107904,39,34,16
107905,39,34,17
107916,39,34,28
107917,39,34,29
107918,39,34,30
107919,39,34,31
107920,39,34,32
107944,39,35,12
107945,39,35,13
107946,39,35,14
107947,39,35,15
107948,39,35,16
107949,39,35,17
107950,39,35,18
107958,39,35,26
107959,39,35,27
107960,39,35,28
107961,39,35,29
107962,39,35,30
107963,39,35,31
107964,39,35,32
107965,39,35,33
107966,39,35,34
107988,39,36,12
107989,39,36,13
107990,39,36,14
107991,39,36,15
107992,39,36,16
107993,39,36,17
107994,39,36,18
107995,39,36,19
108002,39,36,26
108003,39,36,27
108004,39,36,28
108005,39,36,29
108006,39,36,30
108007,39,36,31
108008,39,36,32
108009,39,36,33
108010,39,36,34
108032,39,37,12
108033,39,37,13
108034,39,37,14
108036,39,37,16
108037,39,37,17
108038,39,37,18
108039,39,37,19
108046,39,37,26
108047,39,37,27
108048,39,37,28
108049,39,37,29
108050,39,37,30
108052,39,37,32
108053,39,37,33
108054,39,37,34
108081,39,38,17
108082,39,38,18
108083,39,38,19
108161,39,40,9
108162,39,40,10
108163,39,40,11
108205,39,41,9
108206,39,41,10
108207,39,41,11
108231,39,41,35
108232,39,41,36
108233,39,41,37
108249,39,42,9
108250,39,42,10
108251,39,42,11
108275,39,42,35
108276,39,42,36
108277,39,42,37
108319,39,43,35
108320,39,43,36
108321,39,43,37
110585,40,33,13
110586,40,33,14
110587,40,33,15
110629,40,34,13
110630,40,34,14
110631,40,34,15
110632,40,34,16
110633,40,34,17
110644,40,34,28
110645,40,34,29
110646,40,34,30
110647,40,34,31
110648,40,34,32
110672,40,35,12
110673,40,35,13
110674,40,35,14
110675,40,35,15
110676,40,35,16
110677,40,35,17
110678,40,35,18
110686,40,35,26
110687,40,35,27
110688,40,35,28
110689,40,35,29
110690,40,35,30
110691,40,35,31
110692,40,35,32
110693,40,35,33
110694,40,35,34
110716,40,36,12
110717,40,36,13
110718,40,36,14
110719,40,36,15
110720,40,36,16
110721,40,36,17
110722,40,36,18
110723,40,36,19
110730,40,36,26
110731,40,36,27
110732,40,36,28
110733,40,36,29
110734,40,36,30
110735,40,36,31
110736,40,36,32
110737,40,36,33
110738,40,36,34
110760,40,37,12
110761,40,37,13
110762,40,37,14
110763,40,37,15
110764,40,37,16
110765,40,37,17
110766,40,37,18
110767,40,37,19
110774,40,37,26
110775,40,37,27
110776,40,37,28
110777,40,37,29
110778,40,37,30
110780,40,37,32
110781,40,37,33
110782,40,37,34
110809,40,38,17
110810,40,38,18
110811,40,38,19
110818,40,38,26
110819,40,38,27
110820,40,38,28
110959,40,41,35
110960,40,41,36
110961,40,41,37
111003,40,42,35
111004,40,42,36
111005,40,42,37
111006,40,42,38
111047,40,43,35
111048,40,43,36
111049,40,43,37
111050,40,43,38
111092,40,44,36
111093,40,44,37
111094,40,44,38
113313,41,33,13
113314,41,33,14
113315,41,33,15
113316,41,33,16
113357,41,34,13
113358,41,34,14
113359,41,34,15
113360,41,34,16
113361,41,34,17
113372,41,34,28
113373,41,34,29
113374,41,34,30
113375,41,34,31
113376,41,34,32
113400,41,35,12
113401,41,35,13
113402,41,35,14
113403,41,35,15
113404,41,35,16
113405,41,35,17
113406,41,35,18
113414,41,35,26
113415,41,35,27
113416,41,35,28
113417,41,35,29
113418,41,35,30
113419,41,35,31
113420,41,35,32
113421,41,35,33
113422,41,35,34
113441,41,36,9
113442,41,36,10
113443,41,36,11
113444,41,36,12
113445,41,36,13
113446,41,36,14
113447,41,36,15
113448,41,36,16
113449,41,36,17
113450,41,36,18
113458,41,36,26
113459,41,36,27
113460,41,36,28
113461,41,36,29
113462,41,36,30
113463,41,36,31
113464,41,36,32
113465,41,36,33
113466,41,36,34
113485,41,37,9
113486,41,37,10
113487,41,37,11
113488,41,37,12
113489,41,37,13
113490,41,37,14
113491,41,37,15
113492,41,37,16
113493,41,37,17
113494,41,37,18
113502,41,37,26
113503,41,37,27
113504,41,37,28
113505,41,37,29
113506,41,37,30
113508,41,37,32
113509,41,37,33
113510,41,37,34
113529,41,38,9
113530,41,38,10
113531,41,38,11
113546,41,38,26
113547,41,38,27
113548,41,38,28
113549,41,38,29
113615,41,40,7
113616,41,40,8
113617,41,40,9
113659,41,41,7
113660,41,41,8
113661,41,41,9
113703,41,42,7
113704,41,42,8
113705,41,42,9
113732,41,42,36
113733,41,42,37
113734,41,42,38
113776,41,43,36
113777,41,43,37
113778,41,43,38
113820,41,44,36
113821,41,44,37
113822,41,44,38
115950,42,31,10
115951,42,31,11
115952,42,31,12
115994,42,32,10
115995,42,32,11
115996,42,32,12
116038,42,33,10
116039,42,33,11
116040,42,33,12
116041,42,33,13
116042,42,33,14
116043,42,33,15
116044,42,33,16
116061,42,33,33
116062,42,33,34
116063,42,33,35
116085,42,34,13
116086,42,34,14
116087,42,34,15
116088,42,34,16
116089,42,34,17
116100,42,34,28
116101,42,34,29
116102,42,34,30
116103,42,34,31
116104,42,34,32
116105,42,34,33
116106,42,34,34
116107,42,34,35
116129,42,35,13
116130,42,35,14
116131,42,35,15
116132,42,35,16
116133,42,35,17
116134,42,35,18
116135,42,35,19
116142,42,35,26
116143,42,35,27
116144,42,35,28
116145,42,35,29
116146,42,35,30
116147,42,35,31
116148,42,35,32
116149,42,35,33
116150,42,35,34
116151,42,35,35
116169,42,36,9
116170,42,36,10
116171,42,36,11
116173,42,36,13
116174,42,36,14
116175,42,36,15
116176,42,36,16
116177,42,36,17
116178,42,36,18
116179,42,36,19
116186,42,36,26
116187,42,36,27
116188,42,36,28
