voxel/serie,z,y,x
64931,23,49,31
64932,23,49,32
64933,23,49,33
64962,23,50,18
64963,23,50,19
64964,23,50,20
64965,23,50,21
64968,23,50,24
64969,23,50,25
64970,23,50,26
64971,23,50,27
64972,23,50,28
65006,23,51,18
65007,23,51,19
65008,23,51,20
65009,23,51,21
65012,23,51,24
65013,23,51,25
65014,23,51,26
65015,23,51,27
65051,23,52,19
65052,23,52,20
65053,23,52,21
65056,23,52,24
65057,23,52,25
65058,23,52,26
65059,23,52,27
65100,23,53,24
65101,23,53,25
65102,23,53,26
67161,24,38,17
67162,24,38,18
67163,24,38,19
67168,24,38,24
67169,24,38,25
67170,24,38,26
67171,24,38,27
67204,24,39,16
67205,24,39,17
67206,24,39,18
67207,24,39,19
67208,24,39,20
67212,24,39,24
67213,24,39,25
67214,24,39,26
67215,24,39,27
67216,24,39,28
67217,24,39,29
67247,24,40,15
67248,24,40,16
67249,24,40,17
67250,24,40,18
67251,24,40,19
67252,24,40,20
67253,24,40,21
67256,24,40,24
67257,24,40,25
67258,24,40,26
67259,24,40,27
67260,24,40,28
67261,24,40,29
67291,24,41,15
67292,24,41,16
67293,24,41,17
67294,24,41,18
67295,24,41,19
67296,24,41,20
67297,24,41,21
67298,24,41,22
67299,24,41,23
67300,24,41,24
67301,24,41,25
67302,24,41,26
67303,24,41,27
67304,24,41,28
67305,24,41,29
67308,24,41,32
67309,24,41,33
67310,24,41,34
67335,24,42,15
67336,24,42,16
67337,24,42,17
67338,24,42,18
67339,24,42,19
67340,24,42,20
67341,24,42,21
67342,24,42,22
67343,24,42,23
67344,24,42,24
67345,24,42,25
67346,24,42,26
67347,24,42,27
67348,24,42,28
67349,24,42,29
67350,24,42,30
67351,24,42,31
67352,24,42,32
67353,24,42,33
67354,24,42,34
67376,24,43,12
67377,24,43,13
67378,24,43,14
67379,24,43,15
67380,24,43,16
67381,24,43,17
67382,24,43,18
67383,24,43,19
67384,24,43,20
67385,24,43,21
67386,24,43,22
67387,24,43,23
67388,24,43,24
67389,24,43,25
67390,24,43,26
67391,24,43,27
67392,24,43,28
67393,24,43,29
67394,24,43,30
67395,24,43,31
67396,24,43,32
67397,24,43,33
67398,24,43,34
67420,24,44,12
67421,24,44,13
67422,24,44,14
67423,24,44,15
67424,24,44,16
67425,24,44,17
67426,24,44,18
67427,24,44,19
67428,24,44,20
67429,24,44,21
67430,24,44,22
67431,24,44,23
67432,24,44,24
67433,24,44,25
67434,24,44,26
67435,24,44,27
67436,24,44,28
67437,24,44,29
67438,24,44,30
67439,24,44,31
67440,24,44,32
67441,24,44,33
67464,24,45,12
67465,24,45,13
67466,24,45,14
67467,24,45,15
67468,24,45,16
67469,24,45,17
67470,24,45,18
67471,24,45,19
67472,24,45,20
67473,24,45,21
67474,24,45,22
67475,24,45,23
67476,24,45,24
67477,24,45,25
67478,24,45,26
67479,24,45,27
67480,24,45,28
67481,24,45,29
67482,24,45,30
67483,24,45,31
67484,24,45,32
67485,24,45,33
67509,24,46,13
67510,24,46,14
67511,24,46,15
67512,24,46,16
67513,24,46,17
67514,24,46,18
67515,24,46,19
67516,24,46,20
67517,24,46,21
67518,24,46,22
67520,24,46,24
67521,24,46,25
67522,24,46,26
67523,24,46,27
67524,24,46,28
67525,24,46,29
67526,24,46,30
67527,24,46,31
67528,24,46,32
67554,24,47,14
67555,24,47,15
67556,24,47,16
67557,24,47,17
67558,24,47,18
67559,24,47,19
67560,24,47,20
67561,24,47,21
67564,24,47,24
67565,24,47,25
67566,24,47,26
67567,24,47,27
67568,24,47,28
67569,24,47,29
67570,24,47,30
67571,24,47,31
67572,24,47,32
67573,24,47,33
67598,24,48,14
67599,24,48,15
67600,24,48,16
67601,24,48,17
67602,24,48,18
67603,24,48,19
67604,24,48,20
67609,24,48,25
67610,24,48,26
67611,24,48,27
67612,24,48,28
67613,24,48,29
67614,24,48,30
67615,24,48,31
67616,24,48,32
67617,24,48,33
67642,24,49,14
67643,24,49,15
67644,24,49,16
67645,24,49,17
67646,24,49,18
67647,24,49,19
67648,24,49,20
67649,24,49,21
67652,24,49,24
67653,24,49,25
67654,24,49,26
67655,24,49,27
67656,24,49,28
67657,24,49,29
67658,24,49,30
67659,24,49,31
67660,24,49,32
67661,24,49,33
67689,24,50,17
67690,24,50,18
67691,24,50,19
67692,24,50,20
67693,24,50,21
67696,24,50,24
67697,24,50,25
67698,24,50,26
67699,24,50,27
67700,24,50,28
67701,24,50,29
67734,24,51,18
67735,24,51,19
67736,24,51,20
67737,24,51,21
67740,24,51,24
67741,24,51,25
67742,24,51,26
67743,24,51,27
67779,24,52,19
67780,24,52,20
67781,24,52,21
67784,24,52,24
67785,24,52,25
67786,24,52,26
67787,24,52,27
67828,24,53,24
67829,24,53,25
67830,24,53,26
67831,24,53,27
69888,25,38,16
69889,25,38,17
69890,25,38,18
69891,25,38,19
69896,25,38,24
69897,25,38,25
69898,25,38,26
69899,25,38,27
69932,25,39,16
69933,25,39,17
69934,25,39,18
69935,25,39,19
69936,25,39,20
69940,25,39,24
69941,25,39,25
69942,25,39,26
69943,25,39,27
69944,25,39,28
69945,25,39,29
69976,25,40,16
69977,25,40,17
69978,25,40,18
69979,25,40,19
69980,25,40,20
69981,25,40,21
69984,25,40,24
69985,25,40,25
69986,25,40,26
69987,25,40,27
69988,25,40,28
69989,25,40,29
70020,25,41,16
70021,25,41,17
70022,25,41,18
70023,25,41,19
70024,25,41,20
70025,25,41,21
70026,25,41,22
70027,25,41,23
70028,25,41,24
70029,25,41,25
70030,25,41,26
70031,25,41,27
70032,25,41,28
70033,25,41,29
70036,25,41,32
70037,25,41,33
70038,25,41,34
70064,25,42,16
70065,25,42,17
70066,25,42,18
70067,25,42,19
70068,25,42,20
70069,25,42,21
70070,25,42,22
70071,25,42,23
70072,25,42,24
70073,25,42,25
70075,25,42,27
70076,25,42,28
70077,25,42,29
70078,25,42,30
70079,25,42,31
70080,25,42,32
70081,25,42,33
70082,25,42,34
70104,25,43,12
70105,25,43,13
70106,25,43,14
70108,25,43,16
70109,25,43,17
70110,25,43,18
70112,25,43,20
70113,25,43,21
70114,25,43,22
70115,25,43,23
70116,25,43,24
70117,25,43,25
70118,25,43,26
70119,25,43,27
70120,25,43,28
70121,25,43,29
70122,25,43,30
70123,25,43,31
70124,25,43,32
70125,25,43,33
70126,25,43,34
70148,25,44,12
70149,25,44,13
70150,25,44,14
70151,25,44,15
70152,25,44,16
70153,25,44,17
70154,25,44,18
70155,25,44,19
70156,25,44,20
70157,25,44,21
70158,25,44,22
70159,25,44,23
70160,25,44,24
70161,25,44,25
70162,25,44,26
70163,25,44,27
70164,25,44,28
70165,25,44,29
70166,25,44,30
70167,25,44,31
70168,25,44,32
70169,25,44,33
70170,25,44,34
70171,25,44,35
70192,25,45,12
70193,25,45,13
70194,25,45,14
70195,25,45,15
70196,25,45,16
70197,25,45,17
70198,25,45,18
70199,25,45,19
70200,25,45,20
70201,25,45,21
70202,25,45,22
70203,25,45,23
70204,25,45,24
70205,25,45,25
70206,25,45,26
70207,25,45,27
70208,25,45,28
70209,25,45,29
70210,25,45,30
70211,25,45,31
70212,25,45,32
70213,25,45,33
70214,25,45,34
70215,25,45,35
70237,25,46,13
70238,25,46,14
70239,25,46,15
70240,25,46,16
70241,25,46,17
70242,25,46,18
70243,25,46,19
70244,25,46,20
70245,25,46,21
70246,25,46,22
70247,25,46,23
70248,25,46,24
70249,25,46,25
70250,25,46,26
70251,25,46,27
70252,25,46,28
70253,25,46,29
70254,25,46,30
70255,25,46,31
70256,25,46,32
70257,25,46,33
70258,25,46,34
70259,25,46,35
70281,25,47,13
70282,25,47,14
70283,25,47,15
70284,25,47,16
70285,25,47,17
70286,25,47,18
70287,25,47,19
70288,25,47,20
70289,25,47,21
70292,25,47,24
70293,25,47,25
70294,25,47,26
70295,25,47,27
70296,25,47,28
70297,25,47,29
70298,25,47,30
70299,25,47,31
70300,25,47,32
70301,25,47,33
70325,25,48,13
70326,25,48,14
70327,25,48,15
70328,25,48,16
70329,25,48,17
70330,25,48,18
70331,25,48,19
70332,25,48,20
70336,25,48,24
70337,25,48,25
70338,25,48,26
70339,25,48,27
70340,25,48,28
70341,25,48,29
70342,25,48,30
70343,25,48,31
70344,25,48,32
70345,25,48,33
70369,25,49,13
70370,25,49,14
70371,25,49,15
70372,25,49,16
70373,25,49,17
70374,25,49,18
70375,25,49,19
70376,25,49,20
70381,25,49,25
70382,25,49,26
